hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,res_permits,non_res_permits,total_permits,permits_2025_res,permits_2025_nr,permits_2025_total,source_file,source_sheet
Roan Cliffs CWMU,EA1159,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,,6,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Sand Creek CWMU,EA1160,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,,5,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Scofield Canyons CWMU,EA1161,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,9,0,,9,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Scofield East CWMU,EA1162,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,14,0,,14,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Scofield West CWMU,EA1163,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,19,0,,19,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
SJ Ranch CWMU,EA1164,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,,6,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Skull Crack CWMU,EA1165,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,15,0,,15,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Soldier Summit CWMU,EA1166,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,16,0,,16,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
South Canyon CWMU,EA1167,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,,12,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Spring Creek/Dodge CWMU,EA1168,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,15,0,,15,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Strawberry Ridge CWMU,EA1170,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,,10,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Summit Point CWMU,EA1171,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,,5,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Three C CWMU,EA1172,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,9,0,,9,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Two Bear CWMU,EA1174,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,60,0,,60,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Wallsburg CWMU,EA1175,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,,10,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Woodruff Creek South CWMU,EA1177,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,8,0,,8,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
La Sal (Conservation),EA1180,Antlerless,Elk,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 17 - Dec 31, 2025",,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Paunsaugunt, Hatch Bench",EA1187,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 30 2025,13,2,,13,2,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, West-Central",EA1189,Antlerless,Elk,Muzzleloader,General Season,Nov 01 2025 - Nov 09 2025,382,43,,382,43,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Pahvant Ensign CWMU,EA1192,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,,6,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Cache, Rich",EA1193,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 10 2026,18,2,,18,2,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, Summit",EA1196,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,67,8,,67,8,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Bear Springs CWMU,EA1198,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,2,0,,2,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Double R Ranch CWMU,EA1200,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,,10,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Mountain Sky Ranch CWMU,EA1201,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,,10,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Box Elder, Pilot Mtn",EA1203,Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,4,1,,4,1,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Box Elder, Pilot Mtn",EA1204,Antlerless,Elk,Any Legal Weapon,General Season,Oct 11 2025 - Nov 01 2025,4,1,,4,1,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Cache, Richmond Hyde Park",EA1206,Antlerless,Elk,Any Legal Weapon,General Season,Dec 02 2025 - Jan 15 2026,9,1,,9,1,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Nebo, Moroni Hills",EA1207,Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2025 - Aug 19 2025,9,1,,9,1,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Nebo,EA1208,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 18 2026,247,28,,247,28,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Fillmore, Oak Creek LE",EA1209,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Jan 30 2026,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Avintaquin",EA1217,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,135,15,,135,15,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Manti (Expo),EA1220,Antlerless,Elk,Any Legal Weapon,General Season,"Oct 4 - Oct 16, 2025",,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Fishlake/Thousand Lake (Expo),EA1221,Antlerless,Elk,Any Legal Weapon,General Season,"Oct 4 - Oct 16, 2025",,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Beaver, East",EA1222,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 12 2025,27,3,,27,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Beaver, East",EA1223,Antlerless,Elk,Any Legal Weapon,General Season,Dec 13 2025 - Dec 27 2025,27,3,,27,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Book Cliffs, Bitter Creek/South",EA1224,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,117,13,,117,13,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Book Cliffs, Bitter Creek/South",EA1225,Antlerless,Elk,Any Legal Weapon,General Season,Nov 17 2025 - Dec 14 2025,147,16,,147,16,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Nebo, Moroni Hills",EA1226,Antlerless,Elk,Any Legal Weapon,General Season,Sep 13 2025 - Oct 03 2025,9,1,,9,1,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Morgan-South Rich,EA1228,Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2025 - Dec 21 2025,67,8,,67,8,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Morgan-South Rich,EA1229,Antlerless,Elk,Any Legal Weapon,General Season,Dec 22 2025 - Jan 31 2026,144,16,,144,16,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"West Desert, Tintic Valley",EA1231,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Avintaquin Canyon CWMU,EA1233,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,4,0,,4,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Royal Ivory Outfitters CWMU,EA1234,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,15,0,,15,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Sharp Mountain CWMU,EA1235,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,,10,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
East Canyon,EA1236,Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2025 - Jan 11 2026,135,15,,135,15,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"La Sal, La Sal Mtns-North",EA1237,Antlerless,Elk,Any Legal Weapon,General Season,Nov 17 2025 - Dec 07 2025,157,18,,157,18,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Nine Mile, Range Creek",EA1239,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Nine Mile, Range Creek",EA1240,Antlerless,Elk,Any Legal Weapon,General Season,Nov 27 2025 - Jan 31 2026,135,15,,135,15,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Vernal, Buckskin Hills-Jensen",EA1242,Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2025 - Dec 31 2025,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Vernal, Buckskin Hills-Jensen",EA1243,Antlerless,Elk,Any Legal Weapon,General Season,Jan 01 2026 - Jan 31 2026,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Yellowstone,EA1244,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 17 2025,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Yellowstone,EA1245,Antlerless,Elk,Muzzleloader,General Season,Oct 29 2025 - Nov 06 2025,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, West Daggett",EA1250,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,27,3,,27,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Southwest Desert, Burbank/Garrison",EA1251,Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,13,2,,13,2,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Pine Valley,EA1254,Antlerless,Elk,Any Legal Weapon,General Season,Nov 11 2025 - Jan 11 2026,27,3,,27,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Little Pole Canyon CWMU,EA1256,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,9,0,,9,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Tunnel Hollow CWMU,EA1257,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,,5,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
La Sal (Expo),EA1258,Antlerless,Elk,Any Legal Weapon,General Season,"Oct 4 - Oct 16, 2025",,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Diamond Mountain CWMU,EA1259,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,2,0,,2,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
West Ridge CWMU,EA1260,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,,5,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Blackhawk CWMU,EA1261,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,,5,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Weber Florence Creek/Stillman Creek CWMU,EA1263,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,35,0,,35,0,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Rabbit Gulch",EA1264,Antlerless,Elk,Any Legal Weapon,General Season,Jan 17 2026 - Jan 25 2026,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Tabby Mtn",EA1265,Antlerless,Elk,Any Legal Weapon,General Season,Dec 20 2025 - Dec 30 2025,90,10,,90,10,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Box Elder, Hansel Mtn",EA1266,Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2025 - Jan 31 2026,18,2,,18,2,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Cache,EA1267,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,81,9,,81,9,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, Summit",EA1268,Antlerless,Elk,Archery,General Season,Aug 16 2025 - Sep 17 2025,180,20,,180,20,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Ogden (Excludes Hyrum),EA1269,Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2025 - Dec 31 2025,180,20,,180,20,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Fishlake (Conservation),EA1270,Antlerless,Elk,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 22 - Dec 31, 2025",,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Manti (Conservation),EA1271,Antlerless,Elk,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 19, 2025 - Jan 31, 2026",,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"East Canyon, East",EA1272,Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2025 - Jan 31 2026,135,15,,135,15,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, Three Corners",EA1273,Antlerless,Elk,Any Legal Weapon,General Season,Dec 20 2025 - Jan 04 2026,22,3,,22,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, Three Corners",EA1274,Antlerless,Elk,Archery,General Season,Aug 16 2025 - Sep 05 2025,22,3,,22,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Box Elder Peak",EA1276,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,40,5,,40,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, Three Corners",EA1277,Antlerless,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Nov 30 2025,22,3,,22,3,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, Ferron-Nelson Mtn",EA1278,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Nov 30 2025,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Manti, Ferron-Nelson Mtn",EA1279,Antlerless,Elk,Any Legal Weapon,General Season,Dec 01 2025 - Jan 31 2026,45,5,,45,5,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"La Sal, La Sal Mtns-North",EA1280,Antlerless,Elk,Any Legal Weapon,General Season,Dec 08 2025 - Dec 31 2025,157,18,,157,18,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Mt Dutton, Deep Creek",EA1281,Antlerless,Elk,Any Legal Weapon,General Season,Dec 20 2025 - Jan 11 2026,67,8,,67,8,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Ogden, North",EA1282,Antlerless,Elk,Archery,General Season,Dec 16 2025 - Jan 31 2026,180,20,,180,20,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Panguitch Lake,EA1283,Antlerless,Elk,Archery,General Season,Aug 16 2025 - Aug 31 2025,31,4,,31,4,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Panguitch Lake,EA1284,Antlerless,Elk,Muzzleloader,General Season,Oct 29 2025 - Nov 06 2025,31,4,,31,4,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Panguitch Lake,EA1285,Antlerless,Elk,Any Legal Weapon,General Season,Dec 13 2025 - Dec 21 2025,31,4,,31,4,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Monroe,EA1286,Antlerless,Elk,Any Legal Weapon,General Season,2026 Season Dates Pending,,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Antlerless Elk Control,EA2000,Antlerless,Elk,Any Legal Weapon,Antlerless Elk Control,"Valid for the season/weapon listed on your qualifying permit on the Chalk Creek, East Canyon, Kamas, Henry Mtns, Morgan-S. Rich, Ogden, Pine Valley & Zion Units",,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Morgan-South Rich,EA2002,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,600,,600,600,,600,2026_ANTLERLESS_ELK.xlsx,Sheet1
East Canyon,EA2003,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,500,,500,500,,500,2026_ANTLERLESS_ELK.xlsx,Sheet1
Chalk Creek,EA2004,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,600,,600,600,,600,2026_ANTLERLESS_ELK.xlsx,Sheet1
"North Slope, West Daggett",EA2005,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,100,,100,100,,100,2026_ANTLERLESS_ELK.xlsx,Sheet1
Yellowstone,EA2006,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,2000,,2000,2000,,2000,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Nine Mile, Anthro-Myton Bench",EA2008,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,250,,250,250,,250,2026_ANTLERLESS_ELK.xlsx,Sheet1
"La Sal, La Sal Mtns",EA2009,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,70,,70,70,,70,2026_ANTLERLESS_ELK.xlsx,Sheet1
San Juan,EA2010,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,50,,50,50,,50,2026_ANTLERLESS_ELK.xlsx,Sheet1
Manti,EA2011,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,300,,300,300,,300,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, West",EA2012,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,400,,400,400,,400,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Currant Creek",EA2013,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,2000,,2000,2000,,2000,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Wasatch Mtns, Avintaquin - White River",EA2014,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,400,,400,400,,400,2026_ANTLERLESS_ELK.xlsx,Sheet1
Paunsaugunt,EA2015,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,100,,100,100,,100,2026_ANTLERLESS_ELK.xlsx,Sheet1
Nebo,EA2016,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,275,,275,275,,275,2026_ANTLERLESS_ELK.xlsx,Sheet1
Mt Dutton,EA2017,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,75,,75,75,,75,2026_ANTLERLESS_ELK.xlsx,Sheet1
Panguitch Lake,EA2018,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,75,,75,75,,75,2026_ANTLERLESS_ELK.xlsx,Sheet1
"West Desert, Tintic Valley",EA2019,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,60,,60,60,,60,2026_ANTLERLESS_ELK.xlsx,Sheet1
Zion,EA2020,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,320,,320,320,,320,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Beaver, East",EA2021,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,30,,30,30,,30,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Box Elder, Hansel Mtn",EA2026,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,200,,200,200,,200,2026_ANTLERLESS_ELK.xlsx,Sheet1
Cache,EA2027,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,300,,300,300,,300,2026_ANTLERLESS_ELK.xlsx,Sheet1
Vernal/Bonanza,EA2028,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,450,,450,450,,450,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Nine Mile, Range Creek",EA2029,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,150,,150,150,,150,2026_ANTLERLESS_ELK.xlsx,Sheet1
Diamond Mtn,EA2030,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,200,,200,200,,200,2026_ANTLERLESS_ELK.xlsx,Sheet1
Kamas,EA2033,Antlerless,Elk,Archery,General Season,Aug 16 2025 - Sep 17 2025,225,25,,225,25,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Nine Mile, Anthro",EA2034,Antlerless,Elk,Archery,General Season,Aug 16 2025 - Sep 17 2025,180,20,,180,20,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Oquirrh-Stansbury, East",EA2036,Antlerless,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,54,6,,54,6,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Yellowstone,EA2037,Antlerless,Elk,Archery,General Season,Aug 16 2025 - Sep 17 2025,180,20,,180,20,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Wasatch Mtns,EA2038,Antlerless,Elk,Archery,General Season,Aug 16 2025 - Sep 05 2025,1080,120,,1080,120,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Fillmore, Pahvant",EA2039,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,150,,150,150,,150,2026_ANTLERLESS_ELK.xlsx,Sheet1
Kamas,EA2040,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,150,,150,150,,150,2026_ANTLERLESS_ELK.xlsx,Sheet1
Cache (Conservation),EA2041,Antlerless,Elk,Any Legal Weapon,Conservation,"Oct 4 - Oct 26, 2025",,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
Wasatch Mtns (Conservation),EA2045,Antlerless,Elk,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026",,,,,,,2026_ANTLERLESS_ELK.xlsx,Sheet1
"Box Elder, Sawtooth",EA2046,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,25,,25,25,,25,2026_ANTLERLESS_ELK.xlsx,Sheet1
Beaver - Private Land Only,LP5025,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Box Elder, West - Private Land Only",LP5031,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Fillmore, Oak Creek South - Private Land Only",LP5033,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"San Rafael, North - Private Land Only",LP5046,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026_BUCK_PRONGHORN.xlsx,Sheet1
Southwest Desert - Private Land Only,LP5049,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"West Desert, Rush Valley - Private Land Only",LP5051,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,,2026_BUCK_PRONGHORN.xlsx,Sheet1
Pronghorn - Statewide Permit,PB1000,Buck,Pronghorn,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",,,,,,,2026_BUCK_PRONGHORN.xlsx,Sheet1
Beaver,PB5000,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,11,1,,11,1,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Book Cliffs, Bitter Creek",PB5001,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,13,1,,13,1,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Book Cliffs, South",PB5002,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,8,1,,8,1,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Box Elder, Promontory",PB5003,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,4,0,,4,0,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Box Elder, Puddle Valley",PB5004,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,3,1,,3,1,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Box Elder, Snowville",PB5005,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,9,1,,9,1,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Box Elder, West",PB5006,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,10,1,,10,1,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Fillmore, Oak Creek South",PB5008,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,15,2,,15,2,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"La Sal, Potash/South Cisco",PB5009,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,6,0,,6,0,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"Nine Mile, Anthro-Myton Bench",PB5011,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,30,3,,30,3,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"North Slope, Three Corners/West Daggett",PB5012,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,10,1,,10,1,,2026_BUCK_PRONGHORN.xlsx,Sheet1
Pine Valley,PB5013,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,7,1,,7,1,,2026_BUCK_PRONGHORN.xlsx,Sheet1
"San Rafael, North",PB5015,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,21,2,,21,2,,2026_BUCK_PRONGHORN.xlsx,Sheet1
Diamond Mtn/Bonanza,PB5016,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,17,2,,17,2,,2026_BUCK_PRONGHORN.xlsx,Sheet1
