hunt_code,year,residency,points,application_value_score,decision_label,modeled_draw_probability_score,hunt_quality_score,point_value_score,demand_opportunity_score,permit_stability_score
BI6505,2026,Resident,29,21.748,INSUFFICIENT DATA,0.0,62.194,12.0,0.0,44.0
BI6505,2026,Resident,28,22.949,INSUFFICIENT DATA,0.0,62.194,20.0,0.0,44.0
BI6505,2026,Resident,27,24.148,INSUFFICIENT DATA,0.0,62.194,28.0,0.0,44.0
BI6505,2026,Resident,26,25.349,INSUFFICIENT DATA,0.0,62.194,36.0,0.0,44.0
BI6505,2026,Resident,25,26.548,INSUFFICIENT DATA,0.0,62.194,44.0,0.0,44.0
BI6505,2026,Resident,24,27.748,INSUFFICIENT DATA,0.0,62.194,52.0,0.0,44.0
BI6505,2026,Resident,23,28.949,INSUFFICIENT DATA,0.0,62.194,60.0,0.0,44.0
BI6505,2026,Resident,22,30.148,INSUFFICIENT DATA,0.0,62.194,68.0,0.0,44.0
BI6505,2026,Resident,21,31.349,INSUFFICIENT DATA,0.0,62.194,76.0,0.0,44.0
BI6505,2026,Resident,20,82.549,STRONG APPLY,100.0,62.194,84.0,100.0,44.0
BI6505,2026,Resident,19,33.748,INSUFFICIENT DATA,0.0,62.194,92.0,0.0,44.0
BI6505,2026,Resident,18,34.949,INSUFFICIENT DATA,0.0,62.194,100.0,0.0,44.0
BI6505,2026,Resident,17,66.249,GOOD VALUE,50.0,62.194,92.0,100.0,44.0
BI6505,2026,Resident,16,50.465,POINT CREEP WARNING,8.333,62.194,84.0,100.0,44.0
BI6505,2026,Resident,15,49.849,POINT CREEP WARNING,10.0,62.194,76.0,100.0,44.0
BI6505,2026,Resident,14,48.648,POINT CREEP WARNING,10.0,62.194,68.0,100.0,44.0
BI6505,2026,Resident,13,45.893,POINT CREEP WARNING,5.556,62.194,60.0,100.0,44.0
BI6505,2026,Resident,12,44.339,POINT CREEP WARNING,4.545,62.194,52.0,100.0,44.0
BI6505,2026,Resident,11,43.007,POINT CREEP WARNING,4.167,62.194,44.0,100.0,44.0
BI6505,2026,Resident,10,40.445,POINT CREEP WARNING,3.846,62.194,36.0,91.667,44.0
BI6505,2026,Resident,9,35.49,POINT CREEP WARNING,2.941,62.194,28.0,68.75,44.0
BI6505,2026,Resident,8,36.891,POINT CREEP WARNING,3.571,62.194,20.0,84.615,44.0
BI6505,2026,Resident,7,28.485,POINT CREEP WARNING,1.786,62.194,12.0,40.741,44.0
BI6505,2026,Resident,6,27.045,POINT CREEP WARNING,1.724,62.194,4.0,39.286,44.0
BI6505,2026,Resident,5,28.601,POINT CREEP WARNING,2.273,62.194,0.0,52.381,44.0
BI6505,2026,Resident,4,26.013,POINT CREEP WARNING,1.613,62.194,0.0,36.667,44.0
BI6505,2026,Resident,3,25.818,POINT CREEP WARNING,1.562,62.194,0.0,35.484,44.0
BI6505,2026,Resident,2,24.183,POINT CREEP WARNING,1.136,62.194,0.0,25.581,44.0
BI6505,2026,Resident,1,38.449,POINT CREEP WARNING,10.0,62.194,0.0,100.0,44.0
BI6505,2026,Resident,0,23.908,POINT CREEP WARNING,1.064,62.194,0.0,23.913,44.0
BI6505,2026,Nonresident,32,15.986,INSUFFICIENT DATA,0.0,61.544,4.0,0.0,0.0
BI6505,2026,Nonresident,31,17.186,INSUFFICIENT DATA,0.0,61.544,12.0,0.0,0.0
BI6505,2026,Nonresident,30,18.386,INSUFFICIENT DATA,0.0,61.544,20.0,0.0,0.0
BI6505,2026,Nonresident,29,19.586,INSUFFICIENT DATA,0.0,61.544,28.0,0.0,0.0
BI6505,2026,Nonresident,28,20.786,INSUFFICIENT DATA,0.0,61.544,36.0,0.0,0.0
BI6505,2026,Nonresident,27,21.986,INSUFFICIENT DATA,0.0,61.544,44.0,0.0,0.0
BI6505,2026,Nonresident,26,23.186,INSUFFICIENT DATA,0.0,61.544,52.0,0.0,0.0
BI6505,2026,Nonresident,25,24.386,INSUFFICIENT DATA,0.0,61.544,60.0,0.0,0.0
BI6505,2026,Nonresident,24,25.586,INSUFFICIENT DATA,0.0,61.544,68.0,0.0,0.0
BI6505,2026,Nonresident,23,26.786,INSUFFICIENT DATA,0.0,61.544,76.0,0.0,0.0
BI6505,2026,Nonresident,22,77.986,STRONG APPLY,100.0,61.544,84.0,100.0,0.0
BI6505,2026,Nonresident,21,52.936,SLEEPER,25.0,61.544,92.0,100.0,0.0
BI6505,2026,Nonresident,20,30.386,INSUFFICIENT DATA,0.0,61.544,100.0,0.0,0.0
BI6505,2026,Nonresident,19,52.936,SLEEPER,25.0,61.544,92.0,100.0,0.0
